code,title,full
CHE207D,PRATICAL PHYSICAL CHEMISTRY I,CHE207D - PRATICAL PHYSICAL CHEMISTRY I
BIO202D,CELL AND TISSUE ORGANIZATION,BIO202D - CELL AND TISSUE ORGANIZATION
CHE203D,PHYSICAL CHEMISTRY I,CHE203D - PHYSICAL CHEMISTRY I
CHE201D,MAIN GROUP CHEMISTRY,CHE201D - MAIN GROUP CHEMISTRY
EIT304D,INTERNET AND WEB PEDAGOGIES,EIT304D - INTERNET AND WEB PEDAGOGIES
INF304D,WEB TECHNOLOGY II,INF304D - WEB TECHNOLOGY II
INF213D,WEB TECHNOLOGY,INF213D - WEB TECHNOLOGY
PHY303D,THERMAL PHYSICS,PHY303D - THERMAL PHYSICS
ESC306D,SCIENCE TECHNOLOGY AND SOCIETY,ESC306D - SCIENCE TECHNOLOGY AND SOCIETY
ESC327D,PCK IN PHYSICS,ESC327D - PCK IN PHYSICS
ESC312D,PCK IN CHEMISTRY,ESC312D - PCK IN CHEMISTRY
ESC316D,PCK IN BIOLOGY,ESC316D - PCK IN BIOLOGY
MBB309D,INTRODUCTION TO MOLECULAR GENETICS,MBB309D - INTRODUCTION TO MOLECULAR GENETICS
CHE325D,STEREOCHEMISTRY,CHE325D - STEREOCHEMISTRY
ESC335D,DEVELOPMENT OF SCIENCE TEACHING MATERIALS,ESC335D - DEVELOPMENT OF SCIENCE TEACHING MATERIALS
BIO201D,BASIC SOIL SCIENCE,BIO201D - BASIC SOIL SCIENCE
CHE301D,ANALYTICAL CHEMISTRY,CHE301D - ANALYTICAL CHEMISTRY
PHY309D,ATOMIC AND MODERN PHYSICS,PHY309D - ATOMIC AND MODERN PHYSICS
EMA399D,RESEARCH METHODS IN MATH,EMA399D - RESEARCH METHODS IN MATH
EMA335D,DEVELOPMENT OF INSTRUCTIONAL MATERIALS IN MATHS,EMA335D - DEVELOPMENT OF INSTRUCTIONAL MATERIALS IN MATHS
STA303D,STATISTICAL METHODS I,STA303D - STATISTICAL METHODS I
MAT301D,ADVANCED CALCULUS I,MAT301D - ADVANCED CALCULUS I
INF305D,NETWORK COMPUTING,INF305D - NETWORK COMPUTING
ECD305D,IDENTITY DESIGN AND BRANDING,ECD305D - IDENTITY DESIGN AND BRANDING
INF307D,SOFTWARE ENGINEERING,INF307D - SOFTWARE ENGINEERING
EIT302D,DEVELOPMENT OF INSTRUCTIONAL MATERIALS WITH COMPUTERS,EIT302D - DEVELOPMENT OF INSTRUCTIONAL MATERIALS WITH COMPUTERS
ECO301SD,INTERMEDIATE MICROECONOMICS,ECO301SD - INTERMEDIATE MICROECONOMICS
ECD309D,PACKAGING AND ENVIRONMENTAL GRAPHICS,ECD309D - PACKAGING AND ENVIRONMENTAL GRAPHICS
INF309D,INFORMATION SYSTEMS MANAGEMENT,INF309D - INFORMATION SYSTEMS MANAGEMENT
ESC311D,ASSESSMENT IN SCIENCE EDUCATION,ESC311D - ASSESSMENT IN SCIENCE EDUCATION
